City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Sulina,RO,45.16,29.65,53.29,80,60,19.33,broken clouds
337,Srivaikuntam,IN,8.62,77.93,77.41,86,8,12.97,light rain
338,Santiago Do Cacem,PT,38.02,-8.69,50.0,74,31,3.0,scattered clouds
339,Coihaique,CL,-45.58,-72.07,55.4,54,75,9.17,broken clouds
340,Longavi,CL,-35.97,-71.68,87.15,12,0,15.73,clear sky
341,Bajil,YE,15.06,43.29,77.99,69,17,10.85,few clouds
342,Olbia,IT,40.92,9.49,46.4,81,75,11.41,broken clouds
343,Najran,SA,17.49,44.13,64.4,45,0,4.7,clear sky
344,Belsand,IN,26.45,85.4,58.21,52,0,6.93,clear sky
345,Halifax,CA,44.65,-63.57,33.01,83,6,10.29,clear sky
346,Obo,CF,5.4,26.49,80.42,29,90,3.94,overcast clouds
347,Jalu,LY,29.03,21.55,59.76,40,90,7.54,overcast clouds
348,Esperance,AU,-33.87,121.9,62.6,82,90,13.87,light rain
349,Isla Mujeres,MX,21.23,-86.73,80.6,69,40,6.93,light rain
350,Algiers,DZ,36.75,3.04,51.8,62,40,10.29,scattered clouds
351,Asosa,ET,10.07,34.53,71.1,34,59,4.68,broken clouds
352,Bathsheba,BB,13.22,-59.52,80.6,78,75,4.7,broken clouds
353,Gerash,IR,27.67,54.14,51.8,27,0,2.93,clear sky
354,Indapur,IN,18.3,73.25,70.48,60,13,2.04,few clouds
355,Kaerepere,EE,58.96,24.84,35.01,99,93,1.99,overcast clouds
356,Nuevitas,CU,21.55,-77.26,78.8,65,40,20.8,scattered clouds
357,Iracoubo,GF,5.48,-53.2,82.6,73,100,7.2,overcast clouds
358,Tocache,PE,-8.18,-76.51,88.0,55,100,1.28,overcast clouds
359,Brigantine,US,39.41,-74.36,43.0,52,1,9.17,clear sky
360,Alanya,TR,36.54,32.0,55.4,82,0,4.7,clear sky
